order,Vp,numberOfTurn,0,1,2,3,4,5
"A0,A2,A4,A5,A3,A1",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '14', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 51, 50]","['agent_2', True, {1: '10', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '13', 2: '15', 3: None, 4: '2', 5: None, 6: None}, 3, 29, 21]","['agent_4', False, {1: '12', 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 5, 15, 4]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 25, 13]"
"A0,A2,A5,A1,A3,A4",0.13636363636363638,5,"['agent_0', True, {1: '1', 2: '14', 3: None, 4: None, 5: None}, 2, 32, 23]","['agent_1', True, {1: '12', 2: '15', 3: None, 4: '2', 5: None}, 3, 51, 50]","['agent_2', True, {1: '10', 2: None, 3: None, 4: None, 5: None}, 1, 44, 42]","['agent_3', True, {1: '13', 2: None, 3: None, 4: None, 5: None}, 1, 29, 21]","['agent_4', False, {1: '39', 2: '42', 3: '44', 4: '46', 5: None}, 4, 15, 4]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None, 5: None}, 1, 25, 13]"
"A0,A2,A5,A1,A4,A3",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '12', 2: '14', 3: None, 4: None, 5: None, 6: None}, 2, 51, 50]","['agent_2', True, {1: '10', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '13', 2: '15', 3: None, 4: '2', 5: None, 6: None}, 3, 29, 21]","['agent_4', False, {1: None, 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 4, 15, 4]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 25, 13]"
"A0,A2,A5,A3,A1,A4",0.13636363636363638,5,"['agent_0', True, {1: '1', 2: '14', 3: None, 4: None, 5: None}, 2, 32, 23]","['agent_1', True, {1: '13', 2: None, 3: None, 4: None, 5: None}, 1, 51, 50]","['agent_2', True, {1: '10', 2: None, 3: None, 4: None, 5: None}, 1, 44, 42]","['agent_3', True, {1: '12', 2: '15', 3: None, 4: '2', 5: None}, 3, 29, 21]","['agent_4', False, {1: '39', 2: '42', 3: '44', 4: '46', 5: None}, 4, 15, 4]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None, 5: None}, 1, 25, 13]"
"A0,A2,A5,A3,A4,A1",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '13', 2: '15', 3: None, 4: '2', 5: None, 6: None}, 3, 51, 50]","['agent_2', True, {1: '10', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '12', 2: '14', 3: None, 4: None, 5: None, 6: None}, 2, 29, 21]","['agent_4', False, {1: None, 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 4, 15, 4]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 25, 13]"
"A0,A2,A5,A4,A1,A3",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '12', 2: '14', 3: None, 4: '2', 5: None, 6: None}, 3, 51, 50]","['agent_2', True, {1: '10', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '13', 2: '15', 3: None, 4: None, 5: None, 6: None}, 2, 29, 21]","['agent_4', False, {1: None, 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 4, 15, 4]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 25, 13]"
"A0,A2,A5,A4,A3,A1",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '13', 2: '15', 3: None, 4: None, 5: None, 6: None}, 2, 51, 50]","['agent_2', True, {1: '10', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '12', 2: '14', 3: None, 4: '2', 5: None, 6: None}, 3, 29, 21]","['agent_4', False, {1: None, 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 4, 15, 4]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 25, 13]"
"A0,A3,A1,A2,A4,A5",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: '13', 3: None, 4: None, 5: None, 6: None}, 2, 32, 23]","['agent_1', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 51, 50]","['agent_2', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '10', 2: '14', 3: '15', 4: None, 5: '2', 6: None}, 4, 29, 21]","['agent_4', False, {1: None, 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 4, 15, 4]","['agent_5', True, {1: None, 2: None, 3: None, 4: None, 5: None, 6: None}, 0, 25, 13]"
"A0,A3,A1,A2,A5,A4",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: '13', 3: None, 4: None, 5: None, 6: None}, 2, 32, 23]","['agent_1', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 51, 50]","['agent_2', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '10', 2: '14', 3: '15', 4: None, 5: '2', 6: None}, 4, 29, 21]","['agent_4', False, {1: None, 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 4, 15, 4]","['agent_5', True, {1: None, 2: None, 3: None, 4: None, 5: None, 6: None}, 0, 25, 13]"
"A0,A3,A1,A4,A2,A5",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: '13', 3: None, 4: None, 5: None, 6: None}, 2, 32, 23]","['agent_1', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 51, 50]","['agent_2', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '10', 2: '14', 3: '15', 4: None, 5: '2', 6: None}, 4, 29, 21]","['agent_4', False, {1: None, 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 4, 15, 4]","['agent_5', True, {1: None, 2: None, 3: None, 4: None, 5: None, 6: None}, 0, 25, 13]"
"A0,A3,A1,A4,A5,A2",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 51, 50]","['agent_2', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '10', 2: '14', 3: '15', 4: None, 5: '2', 6: None}, 4, 29, 21]","['agent_4', False, {1: None, 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 4, 15, 4]","['agent_5', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 25, 13]"
"A0,A3,A1,A5,A2,A4",0.13636363636363638,5,"['agent_0', True, {1: '1', 2: '14', 3: None, 4: None, 5: None}, 2, 32, 23]","['agent_1', True, {1: '11', 2: None, 3: None, 4: None, 5: None}, 1, 51, 50]","['agent_2', True, {1: '12', 2: None, 3: None, 4: None, 5: None}, 1, 44, 42]","['agent_3', True, {1: '10', 2: '15', 3: None, 4: '2', 5: None}, 3, 29, 21]","['agent_4', False, {1: '39', 2: '42', 3: '44', 4: '46', 5: None}, 4, 15, 4]","['agent_5', True, {1: '13', 2: None, 3: None, 4: None, 5: None}, 1, 25, 13]"
"A0,A3,A1,A5,A4,A2",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 51, 50]","['agent_2', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '10', 2: '14', 3: '15', 4: None, 5: '2', 6: None}, 4, 29, 21]","['agent_4', False, {1: None, 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 4, 15, 4]","['agent_5', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 25, 13]"
"A0,A3,A2,A1,A4,A5",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: '13', 3: None, 4: None, 5: None, 6: None}, 2, 32, 23]","['agent_1', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 51, 50]","['agent_2', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '10', 2: '14', 3: '15', 4: None, 5: '2', 6: None}, 4, 29, 21]","['agent_4', False, {1: None, 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 4, 15, 4]","['agent_5', True, {1: None, 2: None, 3: None, 4: None, 5: None, 6: None}, 0, 25, 13]"
"A0,A3,A2,A1,A5,A4",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: '13', 3: None, 4: None, 5: None, 6: None}, 2, 32, 23]","['agent_1', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 51, 50]","['agent_2', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '10', 2: '14', 3: '15', 4: None, 5: '2', 6: None}, 4, 29, 21]","['agent_4', False, {1: None, 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 4, 15, 4]","['agent_5', True, {1: None, 2: None, 3: None, 4: None, 5: None, 6: None}, 0, 25, 13]"
"A0,A3,A2,A4,A1,A5",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: '13', 3: None, 4: None, 5: None, 6: None}, 2, 32, 23]","['agent_1', True, {1: '11', 2: '15', 3: None, 4: '2', 5: None, 6: None}, 3, 51, 50]","['agent_2', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '10', 2: '14', 3: None, 4: None, 5: None, 6: None}, 2, 29, 21]","['agent_4', False, {1: None, 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 4, 15, 4]","['agent_5', True, {1: None, 2: None, 3: None, 4: None, 5: None, 6: None}, 0, 25, 13]"
"A0,A3,A2,A4,A5,A1",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '13', 2: '15', 3: None, 4: '2', 5: None, 6: None}, 3, 51, 50]","['agent_2', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '10', 2: '14', 3: None, 4: None, 5: None, 6: None}, 2, 29, 21]","['agent_4', False, {1: None, 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 4, 15, 4]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 25, 13]"
"A0,A3,A2,A5,A1,A4",0.13636363636363638,5,"['agent_0', True, {1: '1', 2: '14', 3: None, 4: None, 5: None}, 2, 32, 23]","['agent_1', True, {1: '13', 2: None, 3: None, 4: None, 5: None}, 1, 51, 50]","['agent_2', True, {1: '12', 2: None, 3: None, 4: None, 5: None}, 1, 44, 42]","['agent_3', True, {1: '10', 2: '15', 3: None, 4: '2', 5: None}, 3, 29, 21]","['agent_4', False, {1: '39', 2: '42', 3: '44', 4: '46', 5: None}, 4, 15, 4]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None, 5: None}, 1, 25, 13]"
"A0,A3,A2,A5,A4,A1",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '13', 2: '15', 3: None, 4: '2', 5: None, 6: None}, 3, 51, 50]","['agent_2', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '10', 2: '14', 3: None, 4: None, 5: None, 6: None}, 2, 29, 21]","['agent_4', False, {1: None, 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 4, 15, 4]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 25, 13]"
"A0,A3,A4,A1,A2,A5",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '11', 2: '15', 3: None, 4: '2', 5: None, 6: None}, 3, 51, 50]","['agent_2', True, {1: '14', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '10', 2: '13', 3: None, 4: None, 5: None, 6: None}, 2, 29, 21]","['agent_4', False, {1: '12', 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 5, 15, 4]","['agent_5', True, {1: None, 2: None, 3: None, 4: None, 5: None, 6: None}, 0, 25, 13]"
"A0,A3,A4,A1,A5,A2",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '11', 2: '15', 3: None, 4: '2', 5: None, 6: None}, 3, 51, 50]","['agent_2', True, {1: '14', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '10', 2: '13', 3: None, 4: None, 5: None, 6: None}, 2, 29, 21]","['agent_4', False, {1: '12', 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 5, 15, 4]","['agent_5', True, {1: None, 2: None, 3: None, 4: None, 5: None, 6: None}, 0, 25, 13]"
"A0,A3,A4,A2,A1,A5",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '11', 2: '15', 3: None, 4: '2', 5: None, 6: None}, 3, 51, 50]","['agent_2', True, {1: '14', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '10', 2: '13', 3: None, 4: None, 5: None, 6: None}, 2, 29, 21]","['agent_4', False, {1: '12', 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 5, 15, 4]","['agent_5', True, {1: None, 2: None, 3: None, 4: None, 5: None, 6: None}, 0, 25, 13]"
"A0,A3,A4,A2,A5,A1",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '11', 2: '15', 3: None, 4: '2', 5: None, 6: None}, 3, 51, 50]","['agent_2', True, {1: '14', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '10', 2: '13', 3: None, 4: None, 5: None, 6: None}, 2, 29, 21]","['agent_4', False, {1: '12', 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 5, 15, 4]","['agent_5', True, {1: None, 2: None, 3: None, 4: None, 5: None, 6: None}, 0, 25, 13]"
"A0,A3,A4,A5,A1,A2",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '13', 2: '15', 3: None, 4: '2', 5: None, 6: None}, 3, 51, 50]","['agent_2', True, {1: None, 2: None, 3: None, 4: None, 5: None, 6: None}, 0, 44, 42]","['agent_3', True, {1: '10', 2: '14', 3: None, 4: None, 5: None, 6: None}, 2, 29, 21]","['agent_4', False, {1: '12', 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 5, 15, 4]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 25, 13]"
"A0,A3,A4,A5,A2,A1",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '13', 2: '15', 3: None, 4: '2', 5: None, 6: None}, 3, 51, 50]","['agent_2', True, {1: '14', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '10', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 29, 21]","['agent_4', False, {1: '12', 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 5, 15, 4]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 25, 13]"
"A0,A3,A5,A1,A2,A4",0.13636363636363638,5,"['agent_0', True, {1: '1', 2: '13', 3: None, 4: None, 5: None}, 2, 32, 23]","['agent_1', True, {1: '12', 2: None, 3: None, 4: None, 5: None}, 1, 51, 50]","['agent_2', True, {1: '14', 2: None, 3: None, 4: None, 5: None}, 1, 44, 42]","['agent_3', True, {1: '10', 2: '15', 3: None, 4: '2', 5: None}, 3, 29, 21]","['agent_4', False, {1: '39', 2: '42', 3: '44', 4: '46', 5: None}, 4, 15, 4]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None, 5: None}, 1, 25, 13]"
"A0,A3,A5,A1,A4,A2",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 51, 50]","['agent_2', True, {1: '14', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '10', 2: '13', 3: '15', 4: None, 5: '2', 6: None}, 4, 29, 21]","['agent_4', False, {1: None, 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 4, 15, 4]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 25, 13]"
"A0,A3,A5,A2,A1,A4",0.13636363636363638,5,"['agent_0', True, {1: '1', 2: '14', 3: None, 4: None, 5: None}, 2, 32, 23]","['agent_1', True, {1: '13', 2: None, 3: None, 4: None, 5: None}, 1, 51, 50]","['agent_2', True, {1: '12', 2: None, 3: None, 4: None, 5: None}, 1, 44, 42]","['agent_3', True, {1: '10', 2: '15', 3: None, 4: '2', 5: None}, 3, 29, 21]","['agent_4', False, {1: '39', 2: '42', 3: '44', 4: '46', 5: None}, 4, 15, 4]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None, 5: None}, 1, 25, 13]"
"A0,A3,A5,A2,A4,A1",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '13', 2: '15', 3: None, 4: '2', 5: None, 6: None}, 3, 51, 50]","['agent_2', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '10', 2: '14', 3: None, 4: None, 5: None, 6: None}, 2, 29, 21]","['agent_4', False, {1: None, 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 4, 15, 4]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 25, 13]"
"A0,A3,A5,A4,A1,A2",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '12', 2: '15', 3: None, 4: '2', 5: None, 6: None}, 3, 51, 50]","['agent_2', True, {1: '14', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '10', 2: '13', 3: None, 4: None, 5: None, 6: None}, 2, 29, 21]","['agent_4', False, {1: None, 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 4, 15, 4]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 25, 13]"
"A0,A3,A5,A4,A2,A1",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '13', 2: '15', 3: None, 4: '2', 5: None, 6: None}, 3, 51, 50]","['agent_2', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '10', 2: '14', 3: None, 4: None, 5: None, 6: None}, 2, 29, 21]","['agent_4', False, {1: None, 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 4, 15, 4]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 25, 13]"
"A0,A4,A1,A2,A3,A5",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '10', 2: '13', 3: None, 4: '2', 5: None, 6: None}, 3, 51, 50]","['agent_2', True, {1: '14', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '11', 2: '15', 3: None, 4: None, 5: None, 6: None}, 2, 29, 21]","['agent_4', False, {1: '12', 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 5, 15, 4]","['agent_5', True, {1: None, 2: None, 3: None, 4: None, 5: None, 6: None}, 0, 25, 13]"
"A0,A4,A1,A2,A5,A3",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '10', 2: '13', 3: None, 4: '2', 5: None, 6: None}, 3, 51, 50]","['agent_2', True, {1: '14', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '11', 2: '15', 3: None, 4: None, 5: None, 6: None}, 2, 29, 21]","['agent_4', False, {1: '12', 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 5, 15, 4]","['agent_5', True, {1: None, 2: None, 3: None, 4: None, 5: None, 6: None}, 0, 25, 13]"
"A0,A4,A1,A3,A2,A5",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '10', 2: '13', 3: None, 4: '2', 5: None, 6: None}, 3, 51, 50]","['agent_2', True, {1: '14', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '11', 2: '15', 3: None, 4: None, 5: None, 6: None}, 2, 29, 21]","['agent_4', False, {1: '12', 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 5, 15, 4]","['agent_5', True, {1: None, 2: None, 3: None, 4: None, 5: None, 6: None}, 0, 25, 13]"
"A0,A4,A1,A3,A5,A2",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '10', 2: '13', 3: None, 4: '2', 5: None, 6: None}, 3, 51, 50]","['agent_2', True, {1: '14', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '11', 2: '15', 3: None, 4: None, 5: None, 6: None}, 2, 29, 21]","['agent_4', False, {1: '12', 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 5, 15, 4]","['agent_5', True, {1: None, 2: None, 3: None, 4: None, 5: None, 6: None}, 0, 25, 13]"
"A0,A4,A1,A5,A2,A3",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '10', 2: '15', 3: None, 4: '2', 5: None, 6: None}, 3, 51, 50]","['agent_2', True, {1: '14', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 44, 42]","['agent_3', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 29, 21]","['agent_4', False, {1: '12', 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 5, 15, 4]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 25, 13]"
"A0,A4,A1,A5,A3,A2",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '10', 2: '14', 3: None, 4: '2', 5: None, 6: None}, 3, 51, 50]","['agent_2', True, {1: None, 2: None, 3: None, 4: None, 5: None, 6: None}, 0, 44, 42]","['agent_3', True, {1: '13', 2: '15', 3: None, 4: None, 5: None, 6: None}, 2, 29, 21]","['agent_4', False, {1: '12', 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 5, 15, 4]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 25, 13]"
"A0,A4,A2,A1,A3,A5",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '11', 2: '15', 3: None, 4: '2', 5: None, 6: None}, 3, 51, 50]","['agent_2', True, {1: '10', 2: '14', 3: None, 4: None, 5: None, 6: None}, 2, 44, 42]","['agent_3', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 29, 21]","['agent_4', False, {1: '12', 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 5, 15, 4]","['agent_5', True, {1: None, 2: None, 3: None, 4: None, 5: None, 6: None}, 0, 25, 13]"
"A0,A4,A2,A1,A5,A3",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '11', 2: '15', 3: None, 4: '2', 5: None, 6: None}, 3, 51, 50]","['agent_2', True, {1: '10', 2: '14', 3: None, 4: None, 5: None, 6: None}, 2, 44, 42]","['agent_3', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 29, 21]","['agent_4', False, {1: '12', 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 5, 15, 4]","['agent_5', True, {1: None, 2: None, 3: None, 4: None, 5: None, 6: None}, 0, 25, 13]"
"A0,A4,A2,A3,A1,A5",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 51, 50]","['agent_2', True, {1: '10', 2: '14', 3: None, 4: None, 5: None, 6: None}, 2, 44, 42]","['agent_3', True, {1: '11', 2: '15', 3: None, 4: '2', 5: None, 6: None}, 3, 29, 21]","['agent_4', False, {1: '12', 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 5, 15, 4]","['agent_5', True, {1: None, 2: None, 3: None, 4: None, 5: None, 6: None}, 0, 25, 13]"
"A0,A4,A2,A3,A5,A1",0.13636363636363638,6,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 32, 23]","['agent_1', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 51, 50]","['agent_2', True, {1: '10', 2: '14', 3: None, 4: None, 5: None, 6: None}, 2, 44, 42]","['agent_3', True, {1: '11', 2: '15', 3: None, 4: '2', 5: None, 6: None}, 3, 29, 21]","['agent_4', False, {1: '12', 2: '39', 3: '42', 4: '44', 5: '46', 6: None}, 5, 15, 4]","['agent_5', True, {1: None, 2: None, 3: None, 4: None, 5: None, 6: None}, 0, 25, 13]"
